date,index_level,divisor,notes
2024-01-22,1484.7801578354004,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-01-23,1497.3318301390455,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-01-24,1505.817361894025,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-01-25,1500.3682826005263,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-01-26,1571.3716647876736,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-01-27,1583.100338218715,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-01-28,1579.2897406989855,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-01-29,1626.0616309658024,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-01-30,1614.280345734686,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-01-31,1599.0868094701239,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-02-01,1618.759864712514,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-02-02,1622.9199549041716,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-02-03,1615.2874859075537,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-02-04,1600.5787298008267,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-02-05,1602.7809094325441,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-02-06,1619.12814731304,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-02-07,1666.0503570086435,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-02-08,1703.4798947763998,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-02-09,1771.0259301014657,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-02-10,1795.3100338218712,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-02-11,1814.9192033070274,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-02-12,1876.8771138669672,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-02-13,1869.8008267568584,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-02-14,1947.955655768508,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-02-15,1952.1645997745206,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-02-16,1961.1161217587373,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-02-17,1942.878617061255,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-02-18,1960.0263059000379,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-02-19,1945.5505449079294,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-02-20,1964.302893649004,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-02-21,1949.1506952273583,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-02-22,1927.8504321683577,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-02-23,1906.7794062382563,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-02-24,1937.4107478391581,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-02-25,1944.1488162344983,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-02-26,2049.056745584367,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-02-27,2144.7801578354,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-02-28,2348.282600526118,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-02-29,2299.1694851559564,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-03-01,2346.2720781661033,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-03-02,2331.217587373168,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-03-03,2374.2277339346106,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-03-04,2567.5723412251036,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-03-05,2397.6813228109736,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-03-06,2483.987222848553,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-03-07,2515.464111236377,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-03-08,2567.944381811349,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-03-09,2572.683201803833,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-03-10,2594.5170988350246,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-03-11,2709.507703870725,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-03-12,2686.3848177376926,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-03-13,2746.4261555806083,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-03-14,2682.119503945885,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-03-15,2611.3791807591133,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-03-16,2452.0706501315294,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-03-17,2568.7936865839915,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-03-18,2540.3983464862836,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-03-19,2326.508831266441,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-03-20,2550.3945885005637,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-03-21,2461.476888387824,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-03-22,2397.9744456971066,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-03-23,2406.4073656520104,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-03-24,2525.137166478767,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-03-25,2628.7110108981583,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-03-26,2630.5937617437057,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-03-27,2609.4438181134915,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-03-28,2658.4817737692592,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2024-03-29,2627.474633596393,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
